date,year,quarter,month,month_name,week,day,day_name,day_of_week,is_weekend,season,is_peak_season,demand_multiplier,promotion,holiday
2022-01-01,2022,Q1,1,January,52,1,Saturday,5,True,Winter,False,0.7,None,False
2022-01-02,2022,Q1,1,January,52,2,Sunday,6,True,Winter,False,0.7,None,False
2022-01-03,2022,Q1,1,January,1,3,Monday,0,False,Winter,False,0.7,None,False
2022-01-04,2022,Q1,1,January,1,4,Tuesday,1,False,Winter,False,0.7,None,False
2022-01-05,2022,Q1,1,January,1,5,Wednesday,2,False,Winter,False,0.7,None,False
2022-01-06,2022,Q1,1,January,1,6,Thursday,3,False,Winter,False,0.7,None,False
2022-01-07,2022,Q1,1,January,1,7,Friday,4,False,Winter,False,0.7,None,False
2022-01-08,2022,Q1,1,January,1,8,Saturday,5,True,Winter,False,0.7,None,False
2022-01-09,2022,Q1,1,January,1,9,Sunday,6,True,Winter,False,0.7,None,False
2022-01-10,2022,Q1,1,January,2,10,Monday,0,False,Winter,False,0.7,None,False
2022-01-11,2022,Q1,1,January,2,11,Tuesday,1,False,Winter,False,0.7,None,False
2022-01-12,2022,Q1,1,January,2,12,Wednesday,2,False,Winter,False,0.7,None,False
2022-01-13,2022,Q1,1,January,2,13,Thursday,3,False,Winter,False,0.7,None,False
2022-01-14,2022,Q1,1,January,2,14,Friday,4,False,Winter,False,0.7,None,False
2022-01-15,2022,Q1,1,January,2,15,Saturday,5,True,Winter,False,0.7,None,False
2022-01-16,2022,Q1,1,January,2,16,Sunday,6,True,Winter,False,0.7,None,False
2022-01-17,2022,Q1,1,January,3,17,Monday,0,False,Winter,False,0.7,None,False
2022-01-18,2022,Q1,1,January,3,18,Tuesday,1,False,Winter,False,0.7,None,False
2022-01-19,2022,Q1,1,January,3,19,Wednesday,2,False,Winter,False,0.7,None,False
2022-01-20,2022,Q1,1,January,3,20,Thursday,3,False,Winter,False,0.7,None,False
2022-01-21,2022,Q1,1,January,3,21,Friday,4,False,Winter,False,0.7,None,False
2022-01-22,2022,Q1,1,January,3,22,Saturday,5,True,Winter,False,0.7,None,False
2022-01-23,2022,Q1,1,January,3,23,Sunday,6,True,Winter,False,0.7,None,False
2022-01-24,2022,Q1,1,January,4,24,Monday,0,False,Winter,False,0.7,None,False
2022-01-25,2022,Q1,1,January,4,25,Tuesday,1,False,Winter,False,0.7,None,False
2022-01-26,2022,Q1,1,January,4,26,Wednesday,2,False,Winter,False,0.7,None,False
2022-01-27,2022,Q1,1,January,4,27,Thursday,3,False,Winter,False,0.7,None,False
2022-01-28,2022,Q1,1,January,4,28,Friday,4,False,Winter,False,0.7,None,False
2022-01-29,2022,Q1,1,January,4,29,Saturday,5,True,Winter,False,0.7,None,False
2022-01-30,2022,Q1,1,January,4,30,Sunday,6,True,Winter,False,0.7,None,False
2022-01-31,2022,Q1,1,January,5,31,Monday,0,False,Winter,False,0.7,None,False
2022-02-01,2022,Q1,2,February,5,1,Tuesday,1,False,Winter,False,0.9,None,False
2022-02-02,2022,Q1,2,February,5,2,Wednesday,2,False,Winter,False,0.9,None,False
2022-02-03,2022,Q1,2,February,5,3,Thursday,3,False,Winter,False,0.9,None,False
2022-02-04,2022,Q1,2,February,5,4,Friday,4,False,Winter,False,0.9,None,False
