month_start,sales_channel,order_count,customer_count,booked_revenue,order_lines,requested_units,fulfilled_units,backordered_units,fulfilled_revenue,booked_gross_profit,fulfilled_gross_profit,service_level,backorder_rate,booked_gross_margin_pct,fulfilled_gross_margin_pct
2022-01-01,DTC,197,1,1070276.0,210,224,221,3,1055279.0,455151.83999999997,448761.12,0.9866071428571429,0.013392857142857142,0.425265856657535,0.4252535301090991
2022-01-01,Dealer,254,35,6880428.83,1027,2273,2208,65,6677835.12,460898.97000000003,446123.98,0.9714034315882094,0.028596568411790584,0.06698695406751268,0.06680667791031054
2022-02-01,DTC,207,1,1074272.0,223,228,147,81,687953.0,460271.6,293546.74,0.6447368421052632,0.35526315789473684,0.42844977808227336,0.4266959225412201
2022-02-01,Dealer,283,35,7657515.17,1126,2520,1638,882,5000435.24,500865.76,306234.34,0.65,0.35,0.06540839278546282,0.06124153704668316
2022-03-01,DTC,317,1,1661654.0,331,346,214,132,1057486.0,706240.99,444154.94,0.6184971098265896,0.3815028901734104,0.4250228928525433,0.42001023181394365
2022-03-01,Dealer,454,35,11811833.02,1801,3898,2233,1665,6826125.72,772278.66,410777.63,0.5728578758337609,0.4271421241662391,0.06538177933030076,0.06017727285573639
2022-04-01,DTC,423,1,2291517.0,453,483,344,139,1631956.0,977277.96,693142.37,0.7122153209109731,0.28778467908902694,0.42647641715073464,0.42473104054275973
2022-04-01,Dealer,578,35,15510394.03,2326,5148,3395,1753,10232350.77,1100537.04,715044.58,0.6594794094794095,0.3405205905205905,0.07095480861874662,0.06988077286173801
2022-05-01,DTC,475,1,2516074.0,502,526,248,278,1195752.0,1073164.73,506220.48,0.4714828897338403,0.5285171102661597,0.42652351639896124,0.42334905565702585
2022-05-01,Dealer,637,35,16912562.02,2492,5561,2653,2908,8050591.62,1095380.29,477397.91000000003,0.47707246898039923,0.5229275310196008,0.06476725931320487,0.059299730073750785
2022-06-01,DTC,441,1,2359804.0,475,496,297,199,1429803.0,1007649.4,606489.24,0.5987903225806451,0.4012096774193548,0.42700554791838646,0.4241767851934847
2022-06-01,Dealer,609,35,16253711.04,2434,5408,3273,2135,9834747.73,1116052.59,647913.96,0.6052144970414202,0.3947855029585799,0.06866447836149056,0.06588007926462593
2022-07-01,DTC,411,1,2167944.0,440,456,242,214,1126258.0,927160.64,481330.01,0.5307017543859649,0.4692982456140351,0.4276681685504792,0.4273710020261787
2022-07-01,Dealer,524,35,14044594.52,2093,4651,2521,2130,7491338.6,933579.46,479868.61,0.5420339711889917,0.4579660288110084,0.06647251073504114,0.06405645714639037
2022-08-01,DTC,346,1,1873108.0,371,392,247,145,1203653.0,797226.75,508319.25,0.6301020408163265,0.36989795918367346,0.42561707600415993,0.42231378146359455
2022-08-01,Dealer,509,35,13761090.52,2046,4525,2873,1652,8751959.93,864776.53,532977.55,0.6349171270718232,0.3650828729281768,0.06284215111754095,0.06089807931741754
2022-09-01,DTC,303,1,1667158.0,327,342,216,126,1058684.0,704487.4,443842.87,0.631578947368421,0.3684210526315789,0.4225678669928105,0.41924017931696334
2022-09-01,Dealer,434,35,11694825.33,1778,3904,2437,1467,7391421.75,772967.61,461611.67,0.6242315573770492,0.37576844262295084,0.06609484008428537,0.062452351606103386
2022-10-01,DTC,265,1,1487389.0,292,311,228,83,1077872.0,632249.02,457283.68,0.7331189710610932,0.26688102893890675,0.4250730777221023,0.42424673801713003
